LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
1,ba¿ant pieczony,215,31.9,9.1,0
2,ba¿ant surowa pierœ,130,24.9,3.3,0
3,ba¿ant surowe miêso ze skór¹,184,22.9,9.1,0
4,ba¿ant surowa udko,133,22.1,4.4,0
5,gêœ samo miêso,316,30.1,23,0
6,gêœ tuszka,345,14.7,30.2,0
7,gêœ tuszka pieczona,501,16,48.1,0
8,g³uszec,123,18.2,6,0
9,g³uszec pieczony,172,30.3,5.5,0
10,go³¹b,172,20.1,9.9,0
11,go³¹b pieczony,233,28.3,13.2,0
12,indyk pierœ bez skóry duszona,122,24.1,1.8,0
13,indyk pierœ bez skóry pieczona na grillu,123,25.3,1.6,0
14,indyk pierœ bez skóry sma¿ona,135,26.1,2.6,0
15,indyk pierœ bez skóry surowa,88,20.2,1.1,0
16,indyk pierœ ze skór¹ duszona,131,24.3,2.6,0
17,indyk pierœ ze skór¹ pieczona na grillu,127,24.4,3.2,0
18,indyk pierœ ze skórk¹ sma¿ona,199,27.8,9.4,0
19,indyk pierœ ze skór¹ surowa,106,15.9,2.5,0
20,idnyk podudzie bez skóry duszone,156,23.1,7.8,0
21,indyk podudzie bez skóry pieczony na grillu,165,24.3,6.4,0
22,indyk podudzie bez skóry sma¿one,189,24,9.9,0
23,idnyk podudzie bez skóry surowe,99,17.1,3.4,0
24,indyk podudzie se skór¹ duszone,166,22.3,7.3,0
25,indyk podudzie ze skór¹ oprószane m¹k¹ sma¿one,174,28.5,6,1.9
26,indyk podudzie ze skór¹ pieczone na grillu,211,23.1,13.2,0
27,indyk podudzie ze skór¹ sma¿one,313,24.1,24.8,0
28,indyk podudzie ze skór¹ surowe,145,16.1,9.2,0
29,indyk skóra pieczona,472,14.1,44.9,0
30,indyk skóra surowa,422,10.2,42.8,0
31,indyk skrzyde³ko bez skóry duszone,192,24.3,9.8,0
32,indyk skrzyde³ko bez skóry pieczona na grillu,182,27.1,7,0
33,indyk skrzyde³ko bez skóry sma¿one,222,26.3,11.9,0
34,indyk skrzyde³ko bez skóry surowe,115,19,4.5,0
35,indyk skrzyde³ko ze skór¹ duszone,182,23.4,9.6,0
36,indyk skrzyde³ko ze skór¹ oprószane m¹k¹ sma¿one,205,27.4,11.3,2.1
37,indyk skrzyde³ko ze skór¹ pieczona na grillu,196,23.3,10.9,0
38,indyk skrzyde³ko ze skór¹ sma¿one,347,23,29.1,0
39,indyk skrzyde³ko ze skór¹ surowe,170,17.2,10.8,0
40,indyk tuszka,132,17.2,6.9,0
41,indyk tuszka pieczona,255,21.5,18.8,0
42,indyk udko bez skóry duszone,166,27.1,6,0
43,indyk udko bez skóry pieczona na grillu,166,27.1,4.5,0
44,indyk udko bez skóry sma¿one,193,29.1,7.2,0
45,indyk udko bez skóry surowe,100,19.2,2.6,0
46,indyk udko ze skór¹ duszone,144,27.2,3.3,0
47,indyk udko ze skór¹ pieczone na grillu,201,27,9.8,0
48,indyk udko ze skór¹ sma¿one,280,27.8,18.9,0
49,indyk udko ze skór¹ oprószane m¹k¹ sma¿one,188,30.5,6.4,2.1
50,indyk udko ze skór¹ surowe,133,19,6.6,0
51,indyk wêdzony,133,28.4,1.6,0
52,kabanosy z kurczaka,250,23.1,17.2,0.2
53,kaczka miêso ze skórk¹,343,21.1,28.8,0
54,kaczka pierœ surowa,125,20.5,4.4,0
55,kaczka samo miêso,194,26.1,11.3,0
56,kaczka tuszka,313,15,27.1,0
57,kaczka tuszka pieczona,399,16.6,35.8,0
58,kaszanka z kurczaka,209,10,11.4,15.9
59,kie³basa delikatesowa z kurczaka,111,20.2,3.6,0.2
60,kie³basa ja³owcowa z kurczaka,239,19.8,17.5,0.2
61,kie³basa kanapkowa z kurczaka,183,12.8,14.1,3.1
62,kie³basa mazurska z indyka,133,15.2,7.9,0.2
63,kie³basa mortadela z indyka,212,11.3,17.6,0.2
64,kie³basa parówki z indyka,233,12.3,19.7,0.6
65,kie³basa parówki z kurczaka,258,10.3,22.1,4.1
66,kie³basa parówki z kurczaka parzone,265,15.3,18.2,9.7
67,kie³basa podlaska z kurczaka,236,21.1,17.2,0.1
68,kie³basa podsuszana z kurczaka,166,22.3,8.6,0
69,kie³basa serdelki drobiowe,245,14.2,20.3,2.2
70,kie³basa szynkowa z indyka,89,18.1,2.2,0.3
71,kie³basa szynkowa z kurczaka,17.1,5.1,0,0
72,kura tuszka,200,19.1,13.1,0
73,kura tuszka duszona,350,20,27.9,0
74,kura tuszka pieczona na grillu,381,21.1,33,0
75,kura tuszka sma¿ona,431,21,37.9,0
76,kurczak pierœ bez skóry duszona,140,27.2,3.2,0
77,kurczak pierœ bez skóry pieczona na grillu,152,29.1,3,0
78,kurczak pierœ bez skóry sma¿ona,174,31.2,4.6,0
79,kurczak pierœ bez skóry surowa,100,22.1,1.5,0
80,kurczak porcja roso³owa,180,19.2,11.9,0
81,kurczak skóra duszona,400,13,37.9,0
82,kurczak skóra pieczona,499,16.6,47.2,0
83,kurczak skóra sma¿ona,520,16.1,49.2,0
84,kurczak skóra surowa,290,11.3,38.4,0
85,kurczak skrzyde³ko bez skóy gotowane,188,27.1,7.3,0
86,kurczak skrzyde³ko bez skóry pieczone,855,31.1,8.3,0
87,kurczak skrzyde³ko bez skóry sma¿one,203,30,10,0
88,kurczak skrzyde³ko bez skóry surowe,122,20.8,3.9,0
89,kurczak skrzyde³ko ze skór¹ gotowane,251,23,17,0
90,kurczak skrzyde³ko ze skór¹ oprószone m¹k¹ sma¿one,323,27.2,23,2.5
91,kurczak skrzyde³ko ze skór¹ pieczone,300,27.1,19.1,0
92,kurczak skrzyde³ko ze skór¹ surowe,221,18.2,15.7,0
93,kurczak skrzyde³ko ze skór¹ w cieœcie sma¿one,325,19.2,22.1,2.6
94,kurczak tuszka,160,19,9.1,0
95,kurczak tuszka duszona,280,20.3,20.6,0
96,kurczak tuszka pieczona na grillu,298,23,21.2,0
97,kurczak tuszka sma¿ona,250,21.8,26.8,0
98,kurczak udko bez skóry duszone,211,21.8,13.3,0
99,kurczak udko bez skóry pieczona na grillu,220,23.7,13.6,0
100,kurczak udko bez skóry sma¿one,234,25.6,14.9,0
101,kurczak udko bez skóry surowe,127,17.9,7,0
102,kurczak udko ze skór¹ duszone,201,24.9,11.3,0
103,kurczak udko ze skór¹ oprószane m¹k¹ sma¿one,215,25.6,13,2.7
104,kurcak udko ze skór¹ pieczone na grillu,211,24.6,12,0
105,kurczak udko ze skór¹ sma¿one,341,24.1,27.1,0
106,kurczak udko ze skór¹ surowe,161,17.3,9.9,0
107,kurczak wêdzony,165,29.2,5.6,0
108,kuropatwa surowa,108,22.1,0.9,0
109,kuropatwa pieczona,213,33.7,7.6,0
110,pasztet podlaski z kurczaka,230,6.6,21.2,3.7
111,pasztet strasburski z gêsich w¹tróbek,292,16.2,23,0
112,pasztet z kurczaka pieczony,213,14.6,14.5,7.2
113,perliczka,177,22.5,9.2,0
114,perliczka pieczona,213,31.8,8.9,0
115,polêdwica z indyka,106,16.2,4.4,0.1
116,polêdwica z piersi kurczaka,97,20.6,1,0.8
117,przepiórka pieczona,218,37.8,6.9,0
118,strusie miêso mielone gotowane,166,28.7,4.4,0
119,strusie miêso mielone surowe,135,23.2,4.2,0
120,szynka delikatesowa z kurczaka,1251,8.7,5.4,0
121,szynka z indyka,85,17.8,1.4,0.1
122,szynka z piersi kurczaka,97,21.4,1.3,0.3
123,szynka z udŸca kurczaka,118,17.3,5.4,0
124,turkawka pieczona,232,3,13.6,0
125,w¹tróbka drobiowa,137,19.9,6,0.7
126,w¹tróbka drobiowa duszona,185,26,8.4,0.2
127,w¹tróbka drobiowa gotowana,190,25.6,8.9,0.2
128,¿o³¹dki drobiowe,120,18.8,3.9,0.5
129,¿o³¹dki drobiowe gotowane,157,27.5,3.9,1.3
130,Big Mac,273,11,16,22
131,cheeseburger,277,13,12,29
132,cheeseburger podwójny,277,14,16,21
133,Chicken McNuggets,287,14,18,17
134,chipsy kukurydziane solone,501,6.6,23.9,60.9
135,chipsy kukurydziane z chili,500,6.6,23.8,61
136,chipsy ziemniaczane bekonowe,566,6.6,39.1,51.8
137,chipsy ziemniaczane o smaku cebuli,522,6.2,31.2,52
138,chipsy ziemniaczane o smaku kurczaka,508,6.6,32,48.9
139,chipsy ziemniaczane fromage,509,6.7,32.1,49
140,chipsy ziemniaczane paprykowe,548,6.3,41,50
141,chipsy ziemniaczane solone,556,6.1,41,51.2
142,chrupki kukurydziane,361,9,3,80.2
143,chrupki kukurydziane o smaku hod-doga,481,6.1,23.2,64.2
144,chrupki kukurydziane wiosenna cebulka,544,6.1,33.9,53.2
145,chrupki kukurydziane o smaku serowo-keczupowym,498,6.3,25.7,60
146,chrupki ziemniaczane o smaku keczupowym,511,3.3,29.3,61.1
147,frytki mor¿one,177,2.4,5.4,27.7
148,frytki z frytkownicy,261,3.3,12.1,33.2
149,frytki z piekarnika,233,2.7,5.1,36.8
150,hamburger,267,11,10,33
151,hamburger McChicken,295,9.7,15.9,28.3
152,Hot Wings skrzyde³ka w superpikantnej panierce,363,24.3,24.3,11.7
153,kurczak Hot&Spicy w pikantnej panierce,368,26.6,23,13.9
154,kurczak Hot&Spicy Strips w podwójnej pikantnej panierce,238,21.7,11.3,10.7
155,kurczak Kentucky w ³agodnej panierce,246,26,10.9,11.3
156,pizza pepperoni mro¿ona,233,12.2,7.5,28.8
157,pizza z pieczarkami i cebul¹ mro¿ona,300,12.5,13.2,32.7
158,pizza z sosem pomidorowym i serem na cienkim cieœcie,289,10.6,15,29.6
159,pizza z sosem pomidorowym i serem na grubym cieœcie,270,10.7,10.9,34.7
160,pizza z szynk¹ mro¿ona,225,10,3,39
161,popcorn bez t³uszczu,400,12.2,4.5,78.5
162,popcorn z t³uszczem,523,9.3,28.9,58.2
163,borowiki,33,2.9,0.3,5.7
164,borowiki suszone,260,20.1,3.6,52.8
165,dro¿d¿e piekarskie prasowane,124,11.5,1.6,14.6
166,dro¿d¿e piwne suszone,275,39.2,1.1,37.9
167,grzyby chiñskie pochwianeczka jadalna œwie¿e,26,2.2,0.4,4.1
168,grzyby chiñskie czarne suszone,290,0,0,73.5
169,grzyby shiitake gotowane,56,0,0,15.1
170,grzyby shiitake œwie¿e,14,2.6,0.4,2.7
171,grzyby suszone ró¿ne,290,9.3,0.8,64
172,grzyby suszone ró¿ne gotowane,103,3.6,0.4,27.9
173,kurki,18,1.3,0.6,4.2
174,pieczarki,15,2.6,0.5,2.7
175,pieczarki gotowane,22,2.1,0.7,3
176,pieczarki marynowane,27,2,0.4,5.2
177,pieczarki sma¿one,256,3.5,24.5,3.1
178,pieczarki suszone,332,19.9,1.9,48.5
179,rydze,24,3.1,0.4,3.8
180,baleron gotowany,245,15.2,20.4,0.8
181,baranina ³opatka,287,15.3,25.7,0
182,baranina ³opatka pieczona,313,20.9,25.4,0
183,baranina miêso bez koœci,233,17.7,17.8,0
184,baranina miêso z koœci¹,307,16.7,26.9,0
185,baranina udziec,231,18.3,18.2,0
186,baranina udziec pieczony,292,24.7,20.4,0
187,baton szynkowy z indyka,145,15,9.8,0.2
188,baton z kurczaka,142,16.6,8.5,0.2
189,bekon,432,14.5,42.8,0
190,bekon chiñski suszony,292,16.4,24.9,3.3
191,bekon gotowany,169,28.6,5.3,0
192,bekon kanadyjski,406,27.1,33.3,0
193,bekon œrodkowy,408,23.9,34.3,0
194,bekon wêdzony z rusztu,233,31.8,11.1,0
195,cielêcina frykando,107,13,5.1,2.5
196,cielêcian ³opatka,101,19.8,3,0
197,cielêcina ³opatka duszona,200,33.3,6,0
198,cielêcina ³opatka gotowana,111,21,3.1,0
199,cielêcina ³opatka pieczona,165,26.6,6.5,0
200,cielêcina ³opatka sma¿ona,203,32,6.9,0
201,cielêcina miêso bez koœci,103,19.2,3.3,0
202,cielêcina miêso z koœci¹,155,20.1,8.8,0.1
203,cielêcina sznyclówka,1.3,21,2.2,0
204,cielêcina sznyclówka duszona,210,33.9,6.1,0
205,cielêcina sznyclówka pieczona,171,27,6.2,0
206,cielêcina szynka,201,36,6.1,0
207,cielêcina szynka duszona,207,32.1,6.1,0
208,cielêcina szynka pieczona,177,26.1,6.4,0
209,cielêcina udziec,110,20,3.3,0
210,cielêcina udziec duszony,191,33.3,5.2,0
211,cielêcina udziec gotowany,195,33.2,5.3,0
212,cielêcina udziec pieczony,146,27,3.3,0
213,cielêcina udziec sma¿ony,202,30.3,8.8,0
214,cynaderki,95,16.3,3.3,0.9
215,cynaderki gotowane,166,27.2,5.9,0.1
216,flaki gotowane,101,18.1,3.1,0
217,flaki surowe,88,16.4,2.3,0
218,g³owizna w galarecie,221,11.3,11.4,0
219,jagniêcina bez koœci,277,17.3,22.4,0
220,jagniêcina bez koœci gotowana,277,24.6,17.9,0
221,kabanosy wieprzowe,330,28.9,25.1,0
222,kabanosy wieprzowo-wo³owe,370,16.7,30.1,0.9
223,kie³basa bia³a,333,15.1,26.9,2.8
224,kie³basa chorizo,380,17.1,33.8,1.4
225,kie³basa domowa,325,15.1,30.1,0.6
226,kie³basa domowa gotowana,311,20.9,24.3,1.4
227,kie³basa krakowska parzona,170,20.3,9.9,0
228,kie³basa krakowska sucha,325,26.8,25.1,0
229,kie³basa litweska,285,15.3,23.8,1.2
230,kie³basa lubuska,256,17.7,18.1,4.7
231,kie³basa mielonka,170,12.4,11.3,3.5
232,kie³basa mortadela,203,13,18.2,0
233,kie³basa mortadela cielêca,187,12.1,16.8,0
234,kie³basa mortadela wieprzowo-cielêca,316,13.1,26.8,0
235,kie³basa mortadela z pieczarkami,233,11,15.5,2
236,kie³basa myœliwska sucha,300,28.1,20.3,0
237,kie³basa parówki dla dzieci,230,13.1,20.2,0.5
238,kie³basa parówki Morlinki,251,13.1,21.8,0.7
239,kie³basa parówki Soko³ów,356,9.2,34.8,0.8
240,kie³basa parówki popularne,250,9.6,33.9,0.5
241,kie³basa parówki popularne parzone,310,14,27.5,1.6
242,kie³basa parówkowa,333,11.2,32.6,0
243,kie³basa parówkowa gotowana,298,15.4,25.9,0
244,kie³basa parówkowa wieprzowo-cielêca,293,11.9,25.6,0
245,kie³basa podwawelska,255,18.1,18.9,1
246,kie³basa polska,338,17.2,32.9,2.9
247,kie³basa rzeszowska,213,21.2,13.6,0
248,kie³basa serwolatka,460,16.2,43.9,0.3
249,kie³basa serwolatka angielska,266,11.2,21.3,7.8
250,kie³basa œl¹ska,213,19.2,16,0
251,kie³basa œl¹ska pieczona na grillu,333,22.9,27.8,0
252,kie³basa toruñska,278,21.5,20.5,0
253,kie³basa wiejska,299,16.7,30.1,0.3
254,kie³basa w³oska cotechino,370,15.3,34.2,0
255,kie³basa zwyczajna,212,17.7,15.5,0
256,kie³basa ¿u³awska,212,18.2,14.1,0
257,kie³basa ¿ywiecka,320,21.1,20.1,0
258,kie³baski bawarskie,302,15.4,27,0.1
259,kie³baski francuskie toulouse,370,12.2,33.3,4.9
260,kie³baski frankfurterki,370,13.2,32.3,0
261,kie³baski serdelki,322,10.1,37.5,2
262,kie³baski w puszce,233,13.4,20.2,0
263,kie³baski wiedeñskie,250,14.1,21.2,3.3
264,kie³basy wieprzowe sma¿one,320,14.4,25.6,10.8
265,kie³basy wo³owe sma¿one,273,13.5,18.9,15.6
266,kiszka kaszana gryczana,260,18.2,33.4,21.1
267,kiszka kaszana jêczmienna,199,8.6,13,13.1
268,kiszka pasztetowa,399,12.5,36.1,4.5
269,konina bez koœci,111,20.9,2.3,0
270,konina bez koœci pieczona,145,27.9,3.2,0
271,konina z koœci¹,107,22.8,2.3,0
272,konina z koœci¹ pieczona,156,29.1,3.2,0
273,koŸlêcina pieczona,140,27.3,2.7,0
274,ko¿lêcina surowa,111,20.2,2,0
275,królik tuszka,160,22.1,7.4,0
276,królik tuszka duszona,249,32.4,13,0
277,królik tuszka pieczona na grillu,240,20.9,12.2,0
278,krupniok,250,14.8,33.1,19.2
279,mielonka,207,17.3,14.2,2.7
280,mózg cielêcy,103,9.9,7.2,0
281,mózg wieprzowy,143,12.1,10.8,0
282,mózg wo³owy,132,11.4,10.2,0
283,nerki baranie,88,16.3,2.5,0
284,nerki baranie sma¿one,156,25.1,6.6,0
285,nerki wieprzowe,99,17,3.5,0
286,nerki wieprzowe duszone,155,25.4,6.2,0
287,nerki wieprzowe gotowane,162,24.8,5.4,0
288,nerki wo³owe,87,15.6,2.7,0
289,nerki wo³owe duszone,177,26.4,7.9,0
290,ogon wieprzowy duszony,245,31.2,14,0
291,ozór cielêcy,107,17.3,4.4,0
292,ozór wieprzowy,166,17,11.3,0
293,ozór wieprzowy gotowany,214,25.1,12.5,0
294,ozór wo³owy marynowany wêdzony,212,15.1,15.1,0
295,ozór wo³owy peklowany wêdzony,212,15.1,15.1,0
296,pastrami z pieprzem,660,10.2,65,0
297,pasztet pieczony,400,17.1,32.1,14
298,pasztet popularny,406,13.1,38.9,1.8
299,p³uca wieprzowe,75,16,1.3,0
300,polêdwica luksusowa,180,20.1,10.5,2.6
301,polêdwica sopocka,166,19.6,8.9,1
302,salami luksusowe,560,22.3,50.9,1.2
303,salami mini,565,22.1,53,1
304,salami niemieckie,522,17.5,49.4,0
305,salami popularne,580,22.3,54.3,1.5
306,salceson bia³y,368,14.8,34.5,0
307,salceson czarny,344,13.2,33,0.7
308,salceson w³oski,324,14.9,30.2,0
309,sarnina comber grillowany,155,32.3,2.1,0
310,sarnina grillowana,153,30.4,2.6,0
311,sarnina miêso mielone opiekane na patelni,183,27.2,8.3,0
312,sarnina pieczona,160,30.3,2.9,0
313,sarnina polêdwica z grila,155,30.3,2.6,0
314,sarnina surowa,118,23.2,2.6,0
315,schab wêdzony,133,24.5,4.3,0
316,serca wieprzowe,117,17.2,4.5,1.1
317,serca wieprzowe duszone,153,23.5,6.1,0.5
318,serca wieprzowe gotowane,147,22.8,5.3,0.3
319,szynka kanapkowa,101,14.5,4.6,1.5
320,szynka surowa wieprzowa,259,18.2,20.7,0
321,szynka wiejska,256,17,20.4,1.1
322,szynka wieprzowa gotowana,337,16.8,19,1.1
323,szynka wieprzowa wêdzona gotowana,390,23.2,33.1,0
324,szynka z dzika,110,27.7,3.2,0.2
325,szynkówka wieprzowa,197,13.7,15,1.3
326,szynkówka wo³owa,85,16.4,1.6,1.5
327,œlimaki,77,15.5,0.9,2.1
328,œlimaki w muszlach,26,5.3,0.4,0
329,œlimaki winniczki gotowane,84,19.4,1.5,0
330,œlimaki z konserwy,120,25,2.3,0.4
331,w¹troba barania sma¿ona,233,23,13.8,4
332,w¹troba barania surowa,182,20.3,10.5,1.8
333,w¹troba cielêca,125,20,3.5,4.2
334,w¹troba cielêca duszona,155,23.5,5,2.2
335,w¹troba cielêca sma¿ona,230,31.5,8.7,3.4
336,w¹troba wieprzowa sma¿ona,170,27.2,3.9,4.1
337,w¹troba wieprozwa surowa,140,22.5,3.6,2.8
338,w¹troba wo³owa,127,20,3.3,3.9
339,w¹troba wo³owa duszona,161,24.8,4.4,2.5
340,w¹troba wo³owa sma¿ona,230,34.2,7.5,3.2
341,w¹trobianka,236,10.9,20.7,0.8
342,wêdzonka wo³owa gotowana,102,17.7,3.3,0.6
343,wieprzowina biodrówka,136,19.2,6.6,0
344,wieprzowina biodrówka duszona,202,26.1,10.2,0
345,wieprzowina biodrówka pieczona,207,26,10.5,0
346,wieprzowina biodrówka sma¿ona,205,25.8,11.3,0
347,wieprzowina boczek bez koœci,515,10.5,54,0
348,wieprzowina boczek bez koœci duszony,620,15.7,62.1,0
349,wieprzowina boczek bez koœci pieczony,570,36.1,46,0.7
350,wieprzowina boczek bez koœci sma¿ony,655,10.1,68.2,0
351,wieprzowina boczek bez koœci wêdzony,560,8.8,57.6,0.1
352,wieprzowina boczek bez koœci wêdzony œredniochudy,491,14.2,52.4,0.1
353,wieprzowina golonka przednia ze skór¹,291,19.2,23.1,0
354,wieprzowina golonka przednia ze skór¹ duszona,388,29.7,30.2,0
355,wieprzowina golonka przednia ze skór¹ pieczona,313,29.1,22.3,0
356,wieprzowina golonka przednia ze skór¹ sma¿ona,420,23.1,26.8,0
357,wieprzowina golonka tylna ze skór¹,297,18.8,25,0
358,wieprzowina golonka tylna ze skór¹ duszona,399,30.6,30.7,0
359,wieprzowina golonka tylna ze skór¹ pieczona,323,29.1,23.3,0
360,wieprzowina golonka tylna ze skór¹ sma¿ona,426,22.4,38.1,0
361,wieprzowina karkówka,272,16.5,23.1,0
362,wieprzowina karkówka pieczona,421,18.4,37.9,0
363,wieprzowina karkówka sma¿ona,403,19.4,35.3,0
364,wieprzowina koœci,344,13.8,32.1,0
365,wieprzowina krew,75,17,0.3,0.3
366,wieprzowina ³opatka,262,16.3,21.8,0
367,wieprzowina ³opatka pieczona,285,17.2,23.4,0
368,wieprzowina mózg gotowany,148,13.4,10.5,0
369,wieprzowina nogi,276,23.4,20.7,0
370,wieprzowina nogi gotowane,189,19,11.5,0
371,wieprzowina pachwina,644,7.6,68.2,0
372,wieprzowina pachwina duszona,720,10.9,73.9,0
373,wieprzowina pachwina gotowana,633,14.2,62.7,0
374,wieprzowina pachwina pieczona,760,6.1,80.9,0
375,wieprzowina pachwina sma¿ona,752,6.8,79.3,0
376,wieprzowina podgardle,644,7.6,68.2,0
377,wieprzowina podgardle duszone,720,11.1,73.8,0
378,wieprzowina podgardle gotowane,633,13.8,63.7,0
379,wieprzowina podgardle pieczone,761,6.2,81.4,0
380,wieprzowina podgardle sma¿one,750,6.9,79,0
381,wieprzowina polêdwica,129,18.6,6.2,0
382,wieprzowina polêdwica duszona,205,25.6,10,0
383,wieprzowina polêdwica pieczona,206,25.8,10.8,0
384,wieprzowina polêdwica sma¿ona,209,25.9,10.9,0
385,wieprzowina schab,134,19.2,6,0
386,wieprzowina schab duszony,198,25.1,10,0
387,wieprzowina schab pieczony,206,25.5,10.6,0
388,wieprzowina schab sma¿ony,204,25.1,10.6,0
389,wieprzowina schab z koœci¹,180,21.7,10.4,0
390,wieprzowina schab z koœci¹ duszony,270,35.8,13.1,0
391,wieprzowina schab z koœci¹ pieczony,246,31.3,12.2,0
392,wieprzowina schab z koœci¹ sma¿ony,270,27.9,17.3,0
393,wieprzowina serce,115,17.1,4.9,0
394,wieprzowina szynka,266,18.3,21.5,0
395,wieprzowina szynka duszona,361,29.7,26,0
396,wieprzowina szynka peklowana,259,17.4,20.5,0.7
397,wieprzowina szynka sma¿ona,377,21.8,31.7,0
398,wieprzowina szynka w cieœcie sma¿ona,223,12.6,14,12.1
399,wieprzowina wywar z koœci,6,1.4,0,0
400,wieprzowina ¿eberka,327,15.3,29.5,0
401,wieprzowina ¿eberka pieczone,424,21,37.5,0
402,wo³owina antrykot,150,21.2,7.4,0
403,wo³owina wo³owina antrykot duszony,217,31.1,9.4,0
404,wo³owina antrykot gotowany,201,29.6,8.3,0
405,wo³owina antrykot pieczony,235,24.1,15.5,0
406,wo³owina antrykot sma¿ony,228,30.7,10.5,0
407,wo³owina goleñ przednia,373,20.3,32.4,0
408,wo³owina goleñ przednia duszona,511,26.4,44.6,0
409,wo³owina goleñ przednia gotowana,431,27.4,34.4,0
410,wo³owina goleñ tylna,371,20.3,32.5,0
411,wo³owina goleñ duszona,511,27.1,44.4,0
412,wo³owina goleñ tylna gotowana,427,28.1,33.9,0
413,wo³owina karkówka,415,14.4,39.9,0
414,wo³owina karkówka duszona,569,19.1,54.1,0
415,wo³owina karkówka gotowana,481,20.2,44.1,0
416,wo³owina koœci,368,20.3,32.5,0
417,wo³owina ³ata,411,14.5,40,0
418,wo³owina ³ata duszona,560,19,52.6,0
419,wo³owina ³ata gotowana,471,19.5,43,0
420,wo³owina ³opatka,226,21.1,15.8,0
421,wo³owina ³opatka duszona,431,27.3,35.1,0
422,wo³owina ³opatka gotowana,290,28.9,18.9,0
423,wo³owina motek,359,19.7,31.5,0
424,wo³owina mostek duszony,511,27.1,43.5,0
425,wo³owina mostek gotowany,435,27.8,35.1,0
426,wo³owina polêdwica,115,20.3,3.6,0
427,wo³owina rostbef,156,22.3,6.9,0
428,wo³owina rostbef duszony,163,32.3,2.9,0
429,wo³owina rostbef pieczony,152,29,2.9,0
430,wo³owina rostbef sma¿ony,167,33.2,2.8,0
431,wo³owina rozbratel,150,21.1,7.3,0
432,wo³owina rozbratel duszony,215,30.7,9,0
433,wo³owina rozbratel gotowany,194,30,7.6,0
434,wo³owina pieczony,231,23.8,14.7,0
435,wo³owina sma¿ony,226,30.7,10.6,0
436,wo³owina szponder,221,20.3,16.2,0
437,wo³owina szponder peklowany,157,24,7.1,0
438,wo³owina szynka gotowana,109,21.1,6.5,0
439,wo³owina udziec,150,20.7,8,0
440,wo³owina udziec duszony,226,31.1,10,0
441,wo³owina udziec pieczony,258,25,16.1,0
442,wo³owina udziec sma¿ony,234,30.8,10.9,0
443,wo³owina wêdzona,156,23,7.1,0
444,wo³owina wêdzonka gotowana,99,18.1,31.6,0.4
445,wo³owina wywar z koœci,6,1.4,0,0
446,zajêcze miêso duszone,200,806,8.2,0
447,¿elatyna,455,85.1,0.1,0
448,Actimel,71,2.8,1.6,10.5
449,jajko kurze bia³ko,45,11.2,0.2,0.6
450,jajko kurze bia³ko gotowane,55,11.6,0.3,0.8
451,jajko kurze ca³e,138,12.4,9.9,0.7
452,jajko kurze ca³e gotowane,155,12.7,11.1,0.4
453,jajko kurze ca³e sma¿one na maœle,276,10,43.9,0.8
454,jajko kurze ca³e sma¿one na oleju,303,12.1,29.1,0.5
455,jajko kurze ca³e sma¿one na smalcu,300,10.9,29.1,0.6
456,jajko kurze ¿ó³tko,313,15.7,28.3,0.4
457,jajko kurze ¿ó³tko gotowane,243,16.1,28.3,0.5
458,jajko tysi¹cletnie (chiñskie),193,16.1,15.9,0.8
459,jogurt Activia z suszonymi œliwkami,95,3.6,2.6,14.2
460,jogurt ba³kañski,112,3.8,9,4
461,jogurt bananowy 15% t³uszczu,72,2.6,1.5,10.8
462,jogurt brzoskwiniowy z ziarnami zbó¿ Bakoma,95,2.7,2.5,15.6
463,jogurt do picia Danonki,87,2.8,1.6,15.4
464,jogurt gruszkowo-jab³kowy z ziarnami zbó¿ Bakoma,93,2.5,2.5,15
465,jogurt gruszkowy Danone,87,2.6,2.3,14
466,jogurt jagodowy 15% t³uszczu,66,3.9,1.5,9
467,jogurt morelowy 15% t³uszczu,66,3.9,1.5,9.1
468,jogurt naturalny 0% t³uszczu,53,5.9,0,7.9
469,jogurt naturalny 2% t³uszczu,62,4.5,2.2,6.3
470,jogurt truskawkowy 15% t³uszczu,62,3.5,1.5,8.1
471,jogurt winogronowy z ziarnami zbó¿ Zott,100,3.9,2.6,15.2
472,jogurt wiœniowy 0% t³uszczu bez cukru,50,5.7,0,8.1
473,jogurt wiœniowy 15% t³uszczu,60,3.5,1.5,8
474,jogurt z ziarnami 7 zbó¿ Bakoma,92,2.5,2.5,15
475,jogurt z ziarnami zbó¿ i suszon¹ œliwk¹ Zott,100,3.9,2.6,15.2
476,kefir 0% t³uszczu,26,3.3,0,3.1
477,kefir 2% t³uszczu,55,3.6,2,4.8
478,maœlanka 05%,36,3.5,0.6,4.9
479,maœlanka 15%,45,3,1.7,4.9
480,mleko kobyle,43,2,1.1,6.6
481,mleko kozie,70,3.1,4,4.6
482,mleko krowie bananowe,66,3.5,1.2,11.8
483,mleko krowie czekoladowe,75,3.6,1.4,12.5
484,mleko krowie pasteryzowane 05% t³uszczu,40,3.6,0.5,5.2
485,mleko krowie pasteryzowane 20% t³uszczu,54,3.5,2,5.3
486,mleko krowie pasteryzowane 32% t³uszczu,62,3.4,3.2,5
487,mleko krowie pasteryzowane 35% t³uszczu,66,3.2,3.5,5
488,mleko krowie UHT 05% t³uszczu,40,3.6,0.5,5.2
