LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
2055,ch³odnik wiejski z zielenin¹,64,4.7,3.4,4.2
2056,ch³odnik wiosenny,44,3.2,2.1,3.5
2057,ch³odnik z botwinki,72,3.4,4.8,4.5
2058,ch³odnik z kefiru,81,3.9,3.3,8.8
2059,ch³odnik z maœlanki,68,5.9,3.2,4.4
2060,ch³odnik z sera twarogowego z zielenin¹,53,4.7,2.1,4.3
2061,ch³odnik z z truskawek z winem,72,0.7,3.3,10
2062,ch³odonik ze szparagami i zielenin¹,81,3.2,6.5,3.6
2063,ch³odnik ze zsiad³ego mleka,49,3.2,2.6,4.1
2064,ch³odnik ze zsiad³ego mleka z zielenin¹ i rzodkiewk¹,62,5,3.1,4.5
2065,cielêcina w potrawce,116,10.6,4.8,8.8
2066,cukinia faszerowana ry¿em i miesem,60,2,4.4,4.8
2067,cukinia z miêsem,86,4,6.6,4.4
2068,cukinia zapiekana z parmezanem,65,3.4,4,4.4
2069,dorsz w jarzynach,130,15.8,5.5,44
2070,dorsz z boczkiem i ziemniakami,140,12.1,7.3,6.9
2071,dorsz z farszem warzywnym,81,9.6,2.7,4.7
2072,dorsz z jab³kami,104,8.2,4.5,8
2073,dorsz z papryk¹,92,12.5,3.7,2.6
2074,dorsz z warzywami zapiekany w œmietanie,97,9.5,3.4,8.9
2075,dorsz z zielonym groszkiem w galarecie,55,9.8,0.3,4.5
2076,dorsz zapiekany z beszamelem,125,15.2,5.7,3.2
2077,eskalopki cielêce zapiekane,195,18,12.3,2.1
2078,eskalopki wo³owe,166,20.2,8.6,2
2079,farsz z pieczarek,67,2.2,5.6,3.9
2080,fasola po bretoñsku z boczkiem,305,15.9,16.3,33.1
2081,fasola po bretoñsku z chud¹ kie³bas¹,155,8,6.6,16
2082,fasolka szparagowa z boczkiem,135,3.2,12,6.1
2083,fasolka szparagowa z mas³em i bu³k¹ tart¹,76,2.7,4.9,9.7
2084,fasolka szparagowa z pomidorami,51,1.8,2.6,7
2085,fasolka szparagowa zapiekana z boczkiem i œmietan¹,180,3.5,17.9,4.1
2086,flaczki na rosole,83,15.7,2.4,0
2087,flaki na rosole z warzywami,70,4.7,4.4,3.8
2088,fl¹dra zapiekana z warzywami,60,7.7,2.7,2.1
2089,fondue serowe,255,16.4,20.8,1.3
2090,galantyna z kurczaka,170,14.9,12,1.6
2091,galaretka drobiowa,130,11,8,4.4
2092,galaretka wieprzowa,168,14.8,10.8,4.5
2093,galaretka wieprzowa z nó¿ek,207,16.6,15,0.9
2094,galaretka z golonek wieprzowych,220,18.1,15.7,1.6
2095,galaretka z karpia,72,9.6,2.5,1.5
2096,galaretka z kurczaka,97,15.3,2.1,6.5
2097,galaretka z kurczaka z zielonym groszkiem,60,7.3,3.5,1.1
2098,gêœ z farszem z kaszy,266,10.6,22.1,7.8
2099,golonka gotowana,296,18.7,24.8,0
2100,go³¹bki z miêsem i ry¿em w sosie pomidorowym,130,9.2,5.1,12.3
2101,go³¹bki z miêsem ry¿em i warzywami w sosie pomidorowym,112,4,7.8,7.1
2102,groch z kapust¹,120,3.2,9.9,5.9
2103,groszek ptysiowy,220,3.6,10.7,27.4
2104,groszek z mas³em,102,3,7.1,7
2105,groszek z ry¿em i smazonym boczkiem,98,3.2,6,8.1
2106,gruszki marynowane,150,0.4,0.2,37.5
2107,gruszki w sosie porzeczkowym,70,0.8,0.2,17.5
2108,gruszki w sosie szodonowym,156,2,2.7,24
2109,gruszki w sosie waniliowym,157,1.7,1.1,34.9
2110,gruszki z ry¿em ? la Richelieu,100,2.3,3.5,17
2111,grzanka,268,7.5,1.3,59
2112,grzanka z serem i pieczarkami,245,8.8,13,24.5
2113,grzanka z serem i szynk¹,200,10,9.2,18.3
2114,grzanka z szynk¹ i ananasem,188,1.5,9.9,23.1
2115,grzanka z w¹ttróbk¹ i jab³kiem,212,9.8,13.8,13.4
2116,grzebienie francuskie z konfitur¹,340,4.5,17.9,40
2117,grzybek z jajka,123,13.2,9.8,2.5
2118,grzybek z jajka z cukrem,155,14,9.9,6.3
2119,gulasz cielêcy z warzywami,107,7.5,7.2,4.6
2120,gulasz wêgierski z udŸca wo³owego,145,13.6,7.5,6.3
2121,gulasz wieprzowo-wo³owy z warzywami,150,14.5,8.8,2.6
2122,gulasz wo³owy z jarzynami,125,12,7.2,3.8
2123,gulasz z boczniaków z pomidorami,56,1.8,4.7,3.5
2124,gulasz z grzybów z pomidorami i papryk¹,73,2.1,5.3,5.2
